Key,Source,Context,Changes,English
resourceSteelToolRepairKit,items,Item,New,Steel Tool Repair Kit
resourceSteelToolRepairKitDesc,items,Item,New,"Steel Tool Repair Kits are used to repair all Steel Tools."
resourceMotorRepairKit,items,Item,New,Motor Repair Kit
resourceMotorRepairKitDesc,items,Item,New,"Motor Repair Kits are used to repair all tools that have a motor on them and the Generic Motor"
resourcePistolRepairKit,items,Item,New,Pistol Repair Kit
resourcePistolRepairKitDesc,items,Item,New,"Pistol Repair Kits are used to repair the Pistol, Magnum 44, SMG, and Desert Vulture."
resourceShotgunRepairKit,items,Item,New,Shotgun Repair Kit
resourceShotgunRepairKitDesc,items,Item,New,"Shotgun Repair Kits are used to repair the Double Barrel, Pump, and Auto shotguns."
resourceRifleRepairKit,items,Item,New,Rifle Repair Kit
resourceRifleRepairKitDesc,items,Item,New,"Rifle Repair Kits are used to repair the Hunting, Marksman, and Sniper rifles."
resourceMachineGunRepairKit,items,Item,New,Machine Gun Repair Kit
resourceMachineGunRepairKitDesc,items,Item,New,"Machine Gun Repair Kits are used to repair the AK-47, Tactical AR, and M60."
resourceBowRepairKit,items,Item,New,Bow Repair Kit
resourceBowRepairKitDesc,items,Item,New,"Machine Gun Repair Kits are used to repair the Wooden Bow, Compound Bow, Iron Crossbow, and Compound Crossbow."
resourceNonmetalArmorRepairKit,items,Item,New,Nonmetal Armor Repair Kit
resourceNonmetalArmorRepairKitDesc,items,Item,New,"Non-metal Armor Repair Kits are used to repair all Cloth and Leather armor."
resourceMetalArmorRepairKit,items,Item,New,Metal Armor Repair Kit
resourceMetalArmorRepairKitDesc,items,Item,New,"Metal Armor Repair Kits are used to repair both Iron and Steel armor."
resourceMilitaryArmorRepairKit,items,Item,New,Military Armor Repair Kit
resourceMilitaryArmorRepairKitDesc,items,Item,New,"Military Armor Repair Kits are used to repair all types of Military Armor."


armorHeavyGroupDesc,items,Clothes,New,"Heavy armor will encumber you but provides good protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Metal Armor Repair Kit.\nScrap to Iron."

armorMilitaryGroupDesc,items,Clothes,New,"Light armor will encumber you a little and provides some protection against damage.\nIt will not protect you from the weather.\n\nRepair with a Military Armor Repair Kit.\nScrap to military armor parts."
armorMilitaryStealthBootsDesc,items,Clothes,New,"These military stealth boots have no stamina use penalty and muffle noise from movement.\n\nRepair with a Military Armor Repair Kit.\nScrap to military armor parts.."

meleeWpnClubT3SteelClubDesc,items,Melee,New,"Steel clubs are very durable and hard-hitting.\n\nRepair with Steel Club Parts.\nScrap to Steel Club Parts."
meleeWpnKnucklesT3SteelKnucklesDesc,items,Melee,New,"Protect your hands and put some weight into those swings. These blades can also be useful for gutting animals.\n\nRepair with Steel Knuckles parts.\nScrap to Steel Knuckles parts."
meleeWpnSledgeT3SteelSledgehammerDesc,items,Melee,New,"The sledgehammer is one of the best weapons for cracking skulls.\n\nRepair with Steel Sledgehammer parts.\nScrap to Steel Sledgehammer parts."
meleeWpnSpearT3SteelSpearDesc,items,Melee,New,"Spears have more range than other weapons and can also be thrown.\n\nRepair with Steel Spear parts.\nScrap to Steel Spear parts."
meleeWpnBladeT3MacheteDesc,items,Melee,New,"Great for chopping zombies and sometimes trees and gutting animals for meat.\nRegular attacks cause 1 Bleeding Wound and power attacks at least 2.\nRepair with Machete parts.\nScrap to Machete parts."
meleeWpnBatonT2StunBatonDesc,items,Melee,New,"Goes zap.\n\nRepair with Stun Baton parts.\nScrap to Stun Baton parts."

gunHandgunT2Magnum44Desc,items,Gun,New,"The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud.\n\nRepair with a Pistol Repair Kit.\nScrap to Handgun Parts."
gunHandgunT3DesertVultureDesc,items,Gun,New,"This heavy pistol uses .44 Magnum ammo.\n\nRepair with a Pistol Repair Kit.\nScrap to Handgun Parts."
